date,inventory,demand
2022-01-01,231,127
2022-01-02,116,81
2022-01-03,154,5
2022-01-04,85,58
2022-01-05,238,147
2022-01-06,198,37
2022-01-07,195,107
2022-01-08,231,2
2022-01-09,373,350
2022-01-10,327,36
2022-01-11,101,16
2022-01-12,145,104
2022-01-13,110,80
2022-01-14,199,177
2022-01-15,290,176
2022-01-16,104,97
2022-01-17,134,69
2022-01-18,339,123
2022-01-19,431,211
2022-01-20,154,79
2022-01-21,430,390
2022-01-22,450,191
2022-01-23,118,79
2022-01-24,115,9
2022-01-25,348,189
2022-01-26,200,49
2022-01-27,410,164
2022-01-28,158,97
2022-01-29,154,47
2022-01-30,498,130
2022-01-31,410,200
2022-02-01,419,279
2022-02-02,415,38
2022-02-03,345,71
2022-02-04,121,25
2022-02-05,458,350
2022-02-06,167,69
2022-02-07,244,62
2022-02-08,140,12
2022-02-09,209,16
2022-02-10,311,237
2022-02-11,216,203
2022-02-12,358,29
2022-02-13,229,149
2022-02-14,429,259
2022-02-15,126,111
2022-02-16,373,373
2022-02-17,82,31
2022-02-18,115,27
2022-02-19,207,27
2022-02-20,284,166
2022-02-21,337,337
2022-02-22,467,191
2022-02-23,152,129
2022-02-24,277,177
2022-02-25,399,214
2022-02-26,167,106
2022-02-27,129,68
2022-02-28,361,344
2022-03-01,263,28
2022-03-02,216,93
2022-03-03,304,36
2022-03-04,338,284
2022-03-05,496,282
2022-03-06,463,192
2022-03-07,380,348
2022-03-08,394,32
2022-03-09,339,26
2022-03-10,285,147
2022-03-11,348,141
2022-03-12,210,194
2022-03-13,327,95
2022-03-14,84,74
2022-03-15,172,78
2022-03-16,252,230
2022-03-17,124,89
2022-03-18,282,150
2022-03-19,388,285
2022-03-20,83,40
2022-03-21,100,58
2022-03-22,163,114
2022-03-23,82,21
2022-03-24,279,35
2022-03-25,441,31
2022-03-26,81,4
2022-03-27,324,289
2022-03-28,393,49
2022-03-29,110,3
2022-03-30,339,136
2022-03-31,358,85
2022-04-01,215,101
2022-04-02,200,70
2022-04-03,208,32
2022-04-04,70,54
